textos;administracion
 abecma está indicado para el tratamiento de pacientes adultos con mieloma múltiple en recaída y refractario que han recibido al menos tres tratamientos previos, incluid os un agente inmunomodulador, un inhibidor del proteosoma y un anticuerpo anti -cd38 y han presentado progresión de la enfermedad al último tratamiento;3
 linfoma anaplásico de células grandes sistémico adcetris, en combinación con ciclofosfamida, doxorrubicina y prednisona (ch , está indicado para pacientes adultos con linfoma anaplásico de células grande s sistémico (lacg sin tratamiento previo.  adcetris está indicado para el tratamiento de pacientes adultos con lacgs en recaída o refractario.  linfoma cutáneo de células t adcetris está indicado para el tratamiento de pacientes adultos con linfoma cután eo de células t (lcc cd30+ tras, al menos, un tratamiento sistémico previo;4
 linfoma de hodgkin adcetris está indicado para pacientes adultos con linfoma de hodgkin (l cd30+ en estadio iii o iv sin tratamiento previo en combinación con doxorrubicina, vinblastina y dacarbacina (av .  adcetris está indicado para el tratamiento de pacientes adultos con lh cd30+ con mayor riesgo de recaída o progresión después de un trasplante au tólogo de células madre (tac .  adcetris está indicado para el tratamiento de pacientes adultos con lh cd30+ en recaída o refractario: 1.  después de tacm o 2.  después de al menos dos tratamientos previos cuando el trasplante autólogo de células madre o la poliquimioterapi a no es una opción terapéutica;4
" akeega está indicado con prednisona o prednisolona para el tratamiento de pacientes adultos con cáncer de próstata metastásico resistente a la castración (cprc y mutaciones en los genes brca1/2 (germinales o somática en los que la quimioterapia no está clínicamente indicada.  
";0
 alecensa en monoterapia está indicado para el tratamiento de pacientes adultos con cáncer de pulmón no microcítico (cpn avanzado, positivo para la quinasa del linfoma anaplásico (al : - de primera línea o - que han sido previamente tratados con crizotinib;4
 alimta en monoterapia está indicado como tratamiento de mantenimiento de pacientes con cáncer de pulmón no micro cítico localmente avanzado o metastásico, salvo aquéllos que tengan histología predominantemente de célula escamosa, cuya enfermedad no ha progresado inmediatamente después de un régimen quimioterápico basado en un platino;2
 cáncer de pulmón no microcítico alimta en combinación con cisplatino, está indicado para el tratamiento en primera línea de pacientes con cáncer de pulmón no microcítico localmente avanzado o metastásico, salvo aquellos que tengan una histología predominantemente de célula escamosa;1
 mesotelioma pleural maligno alimta en combinación con cisplatino, está indicado para el trata miento de pacientes con mesotelioma pleural maligno no resecable que no han recibido quimioterapia previamente;1
 mastocitosis sistémica avanzada (msa ayvakyt está indicado como monoterapia para el tratamiento de pacientes adultos con mastocitosis sistémica agresiva (ms , mastocitosis sistémica con neoplasia hematológica asociada (ms -nh o leucemia mastocítica (l después de, al menos, un tratamiento sistémico;2
 tumor del estroma gastrointestinal (teg irresecable o metastásico ayvakyt está indicado como monoterapia para el tratamiento de pacientes adultos con tumores del estroma gastrointestinal (teg irresecables o metastásicos portadores de la mutación d842v del receptor alfa del factor de crecimiento derivado de plaquetas (pdgfr ;0
