Archivo;comercial;compañia;principio activo;patologia a tratar;Acronimo patologia;administracion;monoterapia;combinacion;medicamento en combinacion;forma_farmaceutica_simplificada;Aprobado/Denegado;seccion;Descripcion patologia;Descripcion;docs;fecha;historial;ema;FDA;FDA info;FDA fecha
ACUERDOS_CIPM_241.pdf;abecma;Bristol-Myers Squibb Pharma Eeig;IDECABTAGEN VICLEUCEL;mieloma múltiple;;tercera línea;False;False;;INYECTABLE PERFUSION;aprobado;alegaciones; abecma está indicado para el tratamiento de pacientes adultos con mieloma múltiple en recaída y refractario que han recibido al menos tres tratamientos previos, incluid os un agente inmunomodulador, un inhibidor del proteosoma y un anticuerpo anti -cd38 y han presentado progresión de la enfermedad al último tratamiento;abecma ® ................................ ................................ . laboratorio medicamento formato cn precio € criterios para la financiación bristol -myers squibb sa abecma 260 -500 x 10e6 celulas dispersion para perfusion 1 o más bolsas null 732577 350.000 principio activo: l01xl07 - idecabtagen vicleucel indicación terapéutica autorizada: abecma está indicado para el tratamiento de pacientes adultos con mieloma múltiple en recaída y refractario que han recibido al menos tres tratamientos previos, incluid os un agente inmunomodulador, un inhibidor del proteosoma y un anticuerpo anti -cd38 y han presentado progresión de la enfermedad al último tratamiento. condiciones de prescripción y dispensación: con receta médica. uso hospitalario. con respecto a este medicamento, la comisión acuerda aceptar las alegaciones presentadas y proponer a la dirección general la inclusión en la prestación farmacéutica y la financiación del medicamento en el tratamiento de pacientes adultos con mieloma múltiple en recaída y refractario que han recibido al menos tres tratamientos previos, incluid os un agente inmunomodulador, un inhibidor del proteosoma y un anticuerpo anti -cd38 y han presentado progresión de la enfermedad al último tratamiento . los pacientes deberán cumplir los siguientes criterios : - mieloma múltiple refractario o en recaída que habían recibido al menos tres líneas de tratamiento previas, incluyendo un inmunomodulador, un inhibidor del proteasoma y un anticuerpo anti -cd38, y han presentado progresión de la enfermedad al último tratamie nto. - estado funcional 0 o 1 según la escala de evaluación del grupo oncológico cooperativo del este (ecog, por sus siglas en inglés, eastern cooperative oncology grou . - quedan excluidos: p acientes con infección activa por el virus de la inmunodeficiencia humana (vi , el virus de la hepatitis b (vh y el virus de la hepatitis c (vh . - quedan excluidos los pacientes previamente tratados con otras terapias dirigidas contra bcma, alotrasplante de células hematopoyéticas, terapia génica pre via u otro tratamiento previo con linfocitos t modificados genéticamente. también los pacientes con antecedentes de trastornos del sistema nervioso central, snc (como convulsione , insuficiencia hepática, renal, medular, cardíaca o pulmonar, o tratamiento en curso con inmunosupresores.  asimismo, acuerda:  fijar el precio del medicamento citado, que aparece relacionado en la tabla anterior.  la dirección general de cartera común de servicios del sns y farmacia elaborará un protocolo farmacoclínico de obligada cumplimentación en todo el sns, a través de valtermed .  el seguimiento y control del gasto causado se realizará mediante el proceso inf ormático seguimed y/o aquel otro del que se disponga. el laboratorio estará obligado a registrarse en dicha aplicación y a comunicar con periodicidad mensual la oportuna información respecto a las ventas realizadas del medicamento al sns.  se procederá a la revisión anual de las ventas y de los precios ahora fijados , para asegurar que se encuentran en los parámetros establecidos legalmente, y en caso contrario, proceder a su adecuación medi ante la rebaja correspondiente .;https://cima.aemps.es/cima/pdfs/p/1211539001/P_1211539001.pdf;13/12/2023;[(Timestamp('2023-09-20 00:00:00'), 'denegado')];True;True;La FDA aprueba idecabtagene vicleucel para el mieloma múltiple;3/26/2021
ACUERDOS_CIPM_241.pdf;adcetris;Takeda Pharma A/S;BRENTUXIMAB VEDOTINA;linfoma;;primera línea y segunda línea;False;True;doxorrubicina, vinblastina;INYECTABLE PERFUSION;denegado;nueva indicación; linfoma de hodgkin adcetris está indicado para pacientes adultos con linfoma de hodgkin (l cd30+ en estadio iii o iv sin tratamiento previo en combinación con doxorrubicina, vinblastina y dacarbacina (av .  adcetris está indicado para el tratamiento de pacientes adultos con lh cd30+ con mayor riesgo de recaída o progresión después de un trasplante au tólogo de células madre (tac .  adcetris está indicado para el tratamiento de pacientes adultos con lh cd30+ en recaída o refractario: 1.  después de tacm o 2.  después de al menos dos tratamientos previos cuando el trasplante autólogo de células madre o la poliquimioterapi a no es una opción terapéutica;adcetris ® ................................ ................................ laboratorio medicamento formato cn criterios para la financiación takeda farmaceutica españa sa adcetris 50 mg polvo para concentrado para solucion para perfusion 1 vial 695032 principio activo: l01fx05 - brentuximab vedotina  indicación terapéutica autorizada: linfoma de hodgkin adcetris está indicado para pacientes adultos con linfoma de hodgkin (l cd30+ en estadio iii o iv sin tratamiento previo en combinación con doxorrubicina, vinblastina y dacarbacina (av . adcetris está indicado para el tratamiento de pacientes adultos con lh cd30+ con mayor riesgo de recaída o progresión después de un trasplante au tólogo de células madre (tac . adcetris está indicado para el tratamiento de pacientes adultos con lh cd30+ en recaída o refractario: 1. después de tacm o 2. después de al menos dos tratamientos previos cuando el trasplante autólogo de células madre o la poliquimioterapi a no es una opción terapéutica. linfoma anaplásico de células grandes sistémico adcetris, en combinación con ciclofosfamida, doxorrubicina y prednisona (ch , está indicado para pacientes adultos con linfoma anaplásico de células grande s sistémico (lacg sin tratamiento previo. adcetris está indicado para el tratamiento de pacientes adultos con lacgs en recaída o refractario. linfoma cutáneo de células t adcetris está indicado para el tratamiento de pacientes adultos con linfoma cután eo de células t (lcc cd30+ tras, al menos, un tratamiento sistémico previo. indicaciones terapéuticas financiadas : adcetris está indicado para el tratamiento de pacientes adultos con linfoma anaplásico de células grandes (lac sistémico en recaída o refractario. adcetris está indicado para el tratamiento de pacientes adultos con linfoma cutáneo de células t (lcc cd30+ tras, al menos, un tratamiento sistémico (con restricción a la indicación autorizada: se restringe la financiación a pacientes con di agnóstico de micosis fungoide y linfoma anaplásico de células grandes cutáneo.) adcetris, en combinación con ciclofosfamida, doxorrubicina y prednisona (ch , está indicado para pacientes adultos con linfoma anaplásico de células grandes sistémico (lacg sin tratamiento previo. adcetris está indicado para el tratamiento de pacientes adultos con lh cd30+ en recaída o refractario: 1. después tacm o 2. después de al menos dos tratamientos previos cuando el trasplante autólogo de células madre o la poliquimioterapia no es una opción terapéutica.  adcetris está indicado para el tratamiento de pacientes adultos con lh cd30+ con mayor riesgo de recaída o progresión después de un trasplante autólogo de células madre (tac con restricción a la indicación autorizada: se restringe la financiación a pacien tes mayores de 18 años con mayor riesgo de recidiva o progresión definido como la presencia de >= 2 factores de riesgo de los siguientes: - recidiva en <12 meses tras el fin de tratamiento o lh refractario al tratamiento de primera línea. - mejor respuesta rp o ee al tratamiento de rescate más reciente determinada por tac y/o pet. - enfermedad extraganglionar en el momento de la recaída previa al trasplante autólogo. - síntomas b en el momento de la recaída previa al trasplante autólogo. - dos o más tratami entos de rescate previos . indicación terapéutica objeto de este expediente : adcetris está indicado para pacientes adultos con linfoma de hodgkin (l cd30+ en estadio iv sin tratamiento previo en combinación con doxorrubicina, vinblastina y dacarbacina (av condiciones de prescripción y dispensación: con receta médica. uso hospitalario. con respecto a este medicamento, la comisión acuerda proponer a la dirección general la no inclusión de estas nuevas poblaciones en la prestación farmacéutica del sns, teniendo en cuenta criterios de r acionalización del gasto público destinado a la prestación farmacéutica e impacto presupuestario en el sistema nacional de salud, así como incertidumbres sobre su beneficio clínico incremental. estos son algunos d e los criterios legalmente establecidos para la financiación selectiva y no indiscriminada de medicamentos necesaria para continuar asegurando una prestación farmacéutica sostenible del sns, dado el crecimiento continuado de las necesidades en materia de p restación farmacéutica.;https://cima.aemps.es/cima/pdfs/p/112794001/P_112794001.pdf;13/12/2023;[];True;False;;
ACUERDOS_CIPM_246.pdf;akeega;Janssen-Cilag International N.V;NIRAPARIB TOSILATO MONOHIDRATO, ABIRATERONA ACETATO;cáncer de próstata;cprc;no hay linea;False;False;;COMPRIMIDO;denegado;alegaciones;" akeega está indicado con prednisona o prednisolona para el tratamiento de pacientes adultos con cáncer de próstata metastásico resistente a la castración (cprc y mutaciones en los genes brca1/2 (germinales o somática en los que la quimioterapia no está clínicamente indicada.  
";"akeega ® ................................ ................................ ...... laboratorio medicamento formato cn criterios para la financiación janssen cilag s.a. akeega 100 mg/500 mg compri midos recubiertos con pelicula 56 comprimidos 762402 janssen cilag s.a. akeega 50 mg/500 mg comprimidos recubiertos con pelicula 56 comprimidos 762401 principio activo: l01xk52 - niraparib y abiraterona indicación terapéutica autorizada : akeega está indicado con prednisona o prednisolona para el tratamiento de pacientes adultos con cáncer de próstata metastásico resistente a la castración (cprc y mutaciones en los genes brca1/2 (germinales o somática en los que la quimioterapia no está clínicamente indicada. 
condiciones de prescripción y dispensación: con receta médica. diagnóstico hospitalario . con respecto a este medicamento la comisión acuerda proponer a la dirección general la no aceptación de las alegaciones y, por tanto, la no inclusión en la prestación farmacéutica del sns, teniendo en cuenta su relación coste -efectividad según la propuesta económica presentada por la empresa y los datos de eficacia del ensayo clínico, así como criterios de r acionalización del gasto público destinado a prestación farmacéutica . estos son algun os de los criterios legalmente establecidos para la financiación selectiva y no indiscriminada de medicamentos necesaria para continuar asegurando una prestación farmacéutica sostenible del sns, dado el crecimiento continuado de las necesidades en materia de prestación farmacéutica.";https://cima.aemps.es/cima/pdfs/p/1231722002/P_1231722002.pdf;24/04/2024;[(Timestamp('2024-03-20 00:00:00'), 'denegado')];True;True;La FDA aprueba niraparib y acetato de abiraterona más prednisona para el cáncer de próstata metastásico resistente a la castración con mutación BRCA;8/11/2023
20221215_ACUERDOS_CIPM_2292.pdf;alecensa;Roche Registration Gmbh;ALECTINIB HIDROCLORURO;cáncer de pulmón no microcítico;;primera línea y segunda línea;True;False;;CAPSULA;aprobado;alteraciones en la oferta; alecensa en monoterapia está indicado para el tratamiento de pacientes adultos con cáncer de pulmón no microcítico (cpn avanzado, positivo para la quinasa del linfoma anaplásico (al : - de primera línea o - que han sido previamente tratados con crizotinib;alecensa ® ................................ ................................ ... laboratorio medicamento formato cn precio (€) criterios para la revisión roche farma sa alecensa 150 mg capsulas duras 224 cápsulas 715267 5.614,34 art. 96.2 roche farma sa alecensa 150 mg capsulas duras 240 cápsulas 720200 6.015,39 art. 96.2 principio activo: l01ed03 – alectinib hidrocloruro indicación terapéutica autorizada y financiada: alecensa en monoterapia está indicado para el tratamiento de pacientes adultos con cáncer de pulmón no microcítico (cpn avanzado, positivo para la quinasa del linfoma anaplásico (al : - de primera línea o - que han sido previamente tratados con crizotinib. condiciones de prescripción y dispensación: con receta médica. diagnóstico hospitalario . con respecto a este medicamento, la comisión acuerda :  modificar el precio de las presentaciones citadas , motivado por el cambio en las circunstancias económicas, técnicas y sanitarias desde el momento en el que se fijó el precio actual.  revisión anual de las ventas y de los precios ahora fijados, para asegurar que se encuentran en los parámetros establecidos legalmente, y en caso contrario, proceder a su adecuación mediante la rebaja correspondiente .;https://cima.aemps.es/cima/pdfs/p/1161169001/P_1161169001.pdf;24/11/2022;[];True;False;;
20221215_ACUERDOS_CIPM_2292.pdf;alecensa;Roche Registration Gmbh;ALECTINIB HIDROCLORURO;linfoma;;primera línea y segunda línea;True;False;;CAPSULA;aprobado;alteraciones en la oferta; alecensa en monoterapia está indicado para el tratamiento de pacientes adultos con cáncer de pulmón no microcítico (cpn avanzado, positivo para la quinasa del linfoma anaplásico (al : - de primera línea o - que han sido previamente tratados con crizotinib;alecensa ® ................................ ................................ ... laboratorio medicamento formato cn precio (€) criterios para la revisión roche farma sa alecensa 150 mg capsulas duras 224 cápsulas 715267 5.614,34 art. 96.2 roche farma sa alecensa 150 mg capsulas duras 240 cápsulas 720200 6.015,39 art. 96.2 principio activo: l01ed03 – alectinib hidrocloruro indicación terapéutica autorizada y financiada: alecensa en monoterapia está indicado para el tratamiento de pacientes adultos con cáncer de pulmón no microcítico (cpn avanzado, positivo para la quinasa del linfoma anaplásico (al : - de primera línea o - que han sido previamente tratados con crizotinib. condiciones de prescripción y dispensación: con receta médica. diagnóstico hospitalario . con respecto a este medicamento, la comisión acuerda :  modificar el precio de las presentaciones citadas , motivado por el cambio en las circunstancias económicas, técnicas y sanitarias desde el momento en el que se fijó el precio actual.  revisión anual de las ventas y de los precios ahora fijados, para asegurar que se encuentran en los parámetros establecidos legalmente, y en caso contrario, proceder a su adecuación mediante la rebaja correspondiente .;https://cima.aemps.es/cima/pdfs/p/1161169001/P_1161169001.pdf;24/11/2022;[];True;False;;
20230223_ACUERDOS_CIPM_231.pdf;alimta;Eli Lilly Nederland B.V.;PEMETREXED;cáncer de pulmón;;segunda línea;True;False;;INYECTABLE PERFUSION;aprobado;alteraciones en la oferta; alimta en monoterapia está indicado como tratamiento de mantenimiento de pacientes con cáncer de pulmón no micro cítico localmente avanzado o metastásico, salvo aquéllos que tengan histología predominantemente de célula escamosa, cuya enfermedad no ha progresado inmediatamente después de un régimen quimioterápico basado en un platino;"alimta® ................................ ................................ ...... laboratorio medicamento formato cn criterios para la exclusión lilly. sa alimta 500 mg polvo para concentrado para solucion para perfusion 1 vial polvo o liofilizado 650405 lilly . sa alimta 100 mg polvo para concentrado para solucion p ara perfusion 1 polvo y disolvente para solucion inyectable 660437 principio activo: l01ba04 –pemetrexed indicaciones terapéuticas autorizadas y financiadas: mesotelioma pleural maligno alimta en combinación con cisplatino, está indicado para el trata miento de pacientes con mesotelioma pleural maligno no resecable que no han recibido quimioterapia previamente. cáncer de pulmón no microcítico alimta en combinación con cisplatino, está indicado para el tratamiento en primera línea de pacientes con cáncer de pulmón no microcítico localmente avanzado o metastásico, salvo aquellos que tengan una histología predominantemente de célula escamosa. alimta en monoterapia está indicado como tratamiento de mantenimiento de pacientes con cáncer de pulmón no micro cítico localmente avanzado o metastásico, salvo aquéllos que tengan histología predominantemente de célula escamosa, cuya enfermedad no ha progresado inmediatamente después de un régimen quimioterápico basado en un platino. 
alimta en monoterapia está indic ado para el tratamiento en segunda línea de pacientes con cáncer de pulmón no microcítico localmente avanzado o metastásico, salvo aquellos que tengan histología predominantemente de célula escamosa. condiciones de prescripción y dispensación: con receta médica. uso hospitalario con respecto a este medicamento, consultada la comisión, acuerda proponer a la dirección general la exclusión de la prestación farmacéutica del sns habida cuenta la existencia de otras alternativas disponibles en las mismas presen taciones.";https://cima.aemps.es/cima/pdfs/p/04290002/P_04290002.pdf;02/02/2023;[];True;False;;
20230223_ACUERDOS_CIPM_231.pdf;alimta;Eli Lilly Nederland B.V.;PEMETREXED;cáncer de pulmón no microcítico;;primera línea;False;True;cisplatino;INYECTABLE PERFUSION;aprobado;alteraciones en la oferta; cáncer de pulmón no microcítico alimta en combinación con cisplatino, está indicado para el tratamiento en primera línea de pacientes con cáncer de pulmón no microcítico localmente avanzado o metastásico, salvo aquellos que tengan una histología predominantemente de célula escamosa;"alimta® ................................ ................................ ...... laboratorio medicamento formato cn criterios para la exclusión lilly. sa alimta 500 mg polvo para concentrado para solucion para perfusion 1 vial polvo o liofilizado 650405 lilly . sa alimta 100 mg polvo para concentrado para solucion p ara perfusion 1 polvo y disolvente para solucion inyectable 660437 principio activo: l01ba04 –pemetrexed indicaciones terapéuticas autorizadas y financiadas: mesotelioma pleural maligno alimta en combinación con cisplatino, está indicado para el trata miento de pacientes con mesotelioma pleural maligno no resecable que no han recibido quimioterapia previamente. cáncer de pulmón no microcítico alimta en combinación con cisplatino, está indicado para el tratamiento en primera línea de pacientes con cáncer de pulmón no microcítico localmente avanzado o metastásico, salvo aquellos que tengan una histología predominantemente de célula escamosa. alimta en monoterapia está indicado como tratamiento de mantenimiento de pacientes con cáncer de pulmón no micro cítico localmente avanzado o metastásico, salvo aquéllos que tengan histología predominantemente de célula escamosa, cuya enfermedad no ha progresado inmediatamente después de un régimen quimioterápico basado en un platino. 
alimta en monoterapia está indic ado para el tratamiento en segunda línea de pacientes con cáncer de pulmón no microcítico localmente avanzado o metastásico, salvo aquellos que tengan histología predominantemente de célula escamosa. condiciones de prescripción y dispensación: con receta médica. uso hospitalario con respecto a este medicamento, consultada la comisión, acuerda proponer a la dirección general la exclusión de la prestación farmacéutica del sns habida cuenta la existencia de otras alternativas disponibles en las mismas presen taciones.";https://cima.aemps.es/cima/pdfs/p/04290002/P_04290002.pdf;02/02/2023;[];True;False;;
ACUERDOS_CIPM_240.pdf;ayvakyt;Blueprint Medicines (Netherlands) B.V.;AVAPRITINIB;neoplasio;;segunda línea;True;False;;COMPRIMIDO;aprobado;alegaciones; mastocitosis sistémica avanzada (msa ayvakyt está indicado como monoterapia para el tratamiento de pacientes adultos con mastocitosis sistémica agresiva (ms , mastocitosis sistémica con neoplasia hematológica asociada (ms -nh o leucemia mastocítica (l después de, al menos, un tratamiento sistémico;ayvakyt ® ................................ ................................ laboratorio medicamento formato cn pvl notificado € criterios para la financiación blueprint medicines (netherland bv en constitución ayvakyt 50 mg comprimidos recubiertos con pelicula 30 comprimidos 734816 18.339,04 blueprint medicines (netherland bv en constitución ayvakyt 25 mg comprimidos recubiertos con pelicula 30 comprimidos 734815 18.339,04 blueprint medicines (netherland bv en constitución ayvakyt 100 mg comprimidos recubiertos con pelicula 30 comprimidos 734817 18.339,04 blueprint medicines (netherland bv en constitución ayvakyt 20 0 mg comprimidos recubiertos con pelicula 30 comprimidos 734818 18.339,04 blueprint medicines (netherland bv en constitución ayvakyt 30 0 mg comprimidos recubiertos con pelicula 30 comprimidos 734814 18.339,04 principio activo: l01ex18 - avapritinib indicaciones terapéuticas autorizadas: tumor del estroma gastrointestinal (teg irresecable o metastásico ayvakyt está indicado como monoterapia para el tratamiento de pacientes adultos con tumores del estroma gastrointestinal (teg irresecables o metastásicos portadores de la mutación d842v del receptor alfa del factor de crecimiento derivado de plaquetas (pdgfr . mastocitosis sistémica avanzada (msa ayvakyt está indicado como monoterapia para el tratamiento de pacientes adultos con mastocitosis sistémica agresiva (ms , mastocitosis sistémica con neoplasia hematológica asociada (ms -nh o leucemia mastocítica (l después de, al menos, un tratamiento sistémico. indicaciones terapéuticas objeto de estos expedientes : tumor del estroma gastrointestinal (teg irresecable o metastásico  ayvakyt está indicado como monoterapia para el tratamiento de pacientes adultos c on tumores del estroma gastrointestinal (teg irresecables o metastásicos portadores de la mutación d842v del receptor alfa del factor de crecimiento derivado de plaquetas (pdgfr . mastocitosis sistémica avanzada (msa ayvakyt está indicado como monot erapia para el tratamiento de pacientes adultos con mastocitosis sistémica agresiva (ms , mastocitosis sistémica con neoplasia hematológica asociada (ms -nh o leucemia mastocítica (l después de, al menos, un tratamiento sistémico. con respecto a este m edicamento, la comisión acuerda aceptar las alegaciones presentadas y proponer a la dirección general la inclusión de ayvakyt en la prestación farmacéutica para el tratamiento en monoterapia de pacientes adultos con tumores del estroma gastrointestinal (teg irresecables o metastásicos portadores de la mutación d842v del receptor alfa del factor de crecimiento derivado de plaqueta s (pdgfr y en monoterapia para el tratamiento de pacientes adultos con mastocitosis sistémica agresiva (ms , mastocitosis sistémica con neoplasia hematológica asociada (ms -nh o leucemia mastocítica (l después de, al menos, un tratamiento sistémico. asimismo , acuerda :  fijar el precio del medicamento citado, que aparece relacionado en la tabla anterior.  establecimiento de reservas singulares en el ámbito del sistema nacional de salud consistentes en limitar su dispensación sin necesidad de visado a los pacientes no hospitalizados en los servicios de farmacia de los hospitales.  revisión anual de las ventas y de los precios ahora fijados, para asegurar que se encuentran en los parámetros establecidos legalmente, y en caso contrario, proceder a su adecuación mediante la rebaja correspondiente .  seguimiento y control del gasto causado mediante el proceso informático seguimed y/o aquel otro del que se disponga. el laboratorio estará obligado a registrarse en dicha aplicación y a comunicar con periodicidad mensual la oportuna información respecto a las ventas realizadas del medicamento al sns.;https://cima.aemps.es/cima/pdfs/p/1201473001/P_1201473001.pdf;23/11/2023;[(Timestamp('2023-07-24 00:00:00'), 'denegado')];True;False;;
ACUERDOS_CIPM_240.pdf;ayvakyt;Blueprint Medicines (Netherlands) B.V.;AVAPRITINIB;tumor;;no hay linea;True;False;;COMPRIMIDO;aprobado;alegaciones; tumor del estroma gastrointestinal (teg irresecable o metastásico ayvakyt está indicado como monoterapia para el tratamiento de pacientes adultos con tumores del estroma gastrointestinal (teg irresecables o metastásicos portadores de la mutación d842v del receptor alfa del factor de crecimiento derivado de plaquetas (pdgfr ;ayvakyt ® ................................ ................................ laboratorio medicamento formato cn pvl notificado € criterios para la financiación blueprint medicines (netherland bv en constitución ayvakyt 50 mg comprimidos recubiertos con pelicula 30 comprimidos 734816 18.339,04 blueprint medicines (netherland bv en constitución ayvakyt 25 mg comprimidos recubiertos con pelicula 30 comprimidos 734815 18.339,04 blueprint medicines (netherland bv en constitución ayvakyt 100 mg comprimidos recubiertos con pelicula 30 comprimidos 734817 18.339,04 blueprint medicines (netherland bv en constitución ayvakyt 20 0 mg comprimidos recubiertos con pelicula 30 comprimidos 734818 18.339,04 blueprint medicines (netherland bv en constitución ayvakyt 30 0 mg comprimidos recubiertos con pelicula 30 comprimidos 734814 18.339,04 principio activo: l01ex18 - avapritinib indicaciones terapéuticas autorizadas: tumor del estroma gastrointestinal (teg irresecable o metastásico ayvakyt está indicado como monoterapia para el tratamiento de pacientes adultos con tumores del estroma gastrointestinal (teg irresecables o metastásicos portadores de la mutación d842v del receptor alfa del factor de crecimiento derivado de plaquetas (pdgfr . mastocitosis sistémica avanzada (msa ayvakyt está indicado como monoterapia para el tratamiento de pacientes adultos con mastocitosis sistémica agresiva (ms , mastocitosis sistémica con neoplasia hematológica asociada (ms -nh o leucemia mastocítica (l después de, al menos, un tratamiento sistémico. indicaciones terapéuticas objeto de estos expedientes : tumor del estroma gastrointestinal (teg irresecable o metastásico  ayvakyt está indicado como monoterapia para el tratamiento de pacientes adultos c on tumores del estroma gastrointestinal (teg irresecables o metastásicos portadores de la mutación d842v del receptor alfa del factor de crecimiento derivado de plaquetas (pdgfr . mastocitosis sistémica avanzada (msa ayvakyt está indicado como monot erapia para el tratamiento de pacientes adultos con mastocitosis sistémica agresiva (ms , mastocitosis sistémica con neoplasia hematológica asociada (ms -nh o leucemia mastocítica (l después de, al menos, un tratamiento sistémico. con respecto a este m edicamento, la comisión acuerda aceptar las alegaciones presentadas y proponer a la dirección general la inclusión de ayvakyt en la prestación farmacéutica para el tratamiento en monoterapia de pacientes adultos con tumores del estroma gastrointestinal (teg irresecables o metastásicos portadores de la mutación d842v del receptor alfa del factor de crecimiento derivado de plaqueta s (pdgfr y en monoterapia para el tratamiento de pacientes adultos con mastocitosis sistémica agresiva (ms , mastocitosis sistémica con neoplasia hematológica asociada (ms -nh o leucemia mastocítica (l después de, al menos, un tratamiento sistémico. asimismo , acuerda :  fijar el precio del medicamento citado, que aparece relacionado en la tabla anterior.  establecimiento de reservas singulares en el ámbito del sistema nacional de salud consistentes en limitar su dispensación sin necesidad de visado a los pacientes no hospitalizados en los servicios de farmacia de los hospitales.  revisión anual de las ventas y de los precios ahora fijados, para asegurar que se encuentran en los parámetros establecidos legalmente, y en caso contrario, proceder a su adecuación mediante la rebaja correspondiente .  seguimiento y control del gasto causado mediante el proceso informático seguimed y/o aquel otro del que se disponga. el laboratorio estará obligado a registrarse en dicha aplicación y a comunicar con periodicidad mensual la oportuna información respecto a las ventas realizadas del medicamento al sns.;https://cima.aemps.es/cima/pdfs/p/1201473001/P_1201473001.pdf;23/11/2023;[(Timestamp('2023-07-24 00:00:00'), 'denegado')];True;False;;
ACUERDOS_CIPM_236.pdf;bavencio;Merck Europe B.V.;AVELUMAB;carcinoma;;no hay linea;True;False;;INYECTABLE PERFUSION;aprobado;alteraciones en la oferta; bavencio está indicadoen monoterapia para el tratamiento de los pacientes adultos con carcinoma de células de merkel (cc metastásico;bavencio ® ................................ ................................ laboratorio medicamento formato cn precio € criterios para la revisión merck sl bavencio 20mg/ml, vial 10ml 1 vial concentrado para solución para perfusión 719163 913,46 principio activo: l01xc31 - avelumab indicación terapéutica autorizada: bavencio está indicadoen monoterapia para el tratamiento de los pacientes adultos con carcinoma de células de merkel (cc metastásico. bavencio está indicadoen monoterapia para el tratamiento de mantenimiento de primera línea de los pacientes adultos con carcinoma urotelial (c localmente avanzado o metastásico libres de progresión después de recibir quimioterapia con platino. bavencio en combinación con axitinib está indicado para el tratamiento de primera línea de los pacientes adultos con carcinoma de células renales (cc avanzado. indicación terapéutica financiada: bavencio está indicado como monoterapia para el tratamiento de los pacientes adultos con carcinoma de células de merkel (cc metastásico. bavencio en monoterapia para el tratamiento de mantenimiento de primera línea de los pacientes adultos con tumores pd -l1 positivos con carcinoma urotelial (c localmente avanza do o metastásico libres de progresión después de recibir quimioterapia con platino indicación terapéutica objeto de este expedie nte: bavencio está indicadoen monoterapia para el tratamiento de mantenimiento de primera línea de los pacientes adultos con carcinoma urotelial (c localmente avanzado o metastásico libres de progresión después de recibir quimioterapia con platino. condiciones de prescripción y dispensación: con receta médica. uso hospitalario. con respecto a este medicamento, la comisión acuerda eliminar la limitación de la financiación de esta indicación y su financiación conforme a la autorización de la indicación e n la ficha técnica:  bavencio en monoterapia para el tratamiento de mantenimiento de primera línea de los pacientes adultos con carcinoma urotelial (c localmente avanzado o metastásico libres de progresión después de recibir quimioterapia con platino. asimismo, acuerda:  mantener el precio del medicamento citado, que aparece relacionado en la tabla anterior.  revisión anual de las ventas y de los precios ahora fijados, para asegurar que se encuentran en los parámetros establecidos legalmente, y en caso co ntrario, proceder a su adecuación mediante la rebaja correspondiente.  el seguimiento y control del gasto causado se realizará mediante el proceso informático seguimed y/o aquel otro del que se disponga. el laboratorio estará obligado a registrarse en dicha aplicación y a comunicar con periodicidad mensual la oportuna información respecto a las ventas realizadas del medicamento al sns.;https://cima.aemps.es/cima/pdfs/p/1171214001/P_1171214001.pdf;24/07/2023;[];True;False;;
